"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,"Expected Result (Per step, Expected for whole test case list on last step)",,
Update groupNpiPrefix,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update groupNpiPrefix.

Example ""groupNpiPrefix"": null,
is changed to ""groupMedicaidst2"": ""54321 "",
",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,groupNpiPrefix should update to 54321,,
Update groupNpiNumber,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update groupNpiNumber.

Example ""groupNpiNumber"": null,
is changed to ""groupNpiNumber"": ""1034567894 "",
",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,groupNpiNumber should updated to 1034567894,,
Update groupMedicareId,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update groupMedicareId.

Example ""groupMedicareId"": null,
is changed to ""groupNpiNumber"": ""54321"",
",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,groupMedicareId should update to 54321,,
"Update name,Address,State,zip countryCode and phone",Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update Update name,Address,State,zip countryCode and phone


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,"name,Address,State,zip countryCode and phone should be updated ",,
Update all JSON properties ,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Update name,Address,State,zip countryCode,phone,secondPhone,thirdPhone,fax,secondfax,thirdFax,contact,contactType,activeDate,termDate,deletedDate,futureTerm,centralLabCode,shipAddress1,shipAddress2,shipCity,shipStateCode,shipZip,shipCountryCode,doesEyeExam,dispensesGlases,inMedicare,ownLab,ownFrames,groupMedicareid,groupMedicalid,groupmedicaidst,groupmedicaidst2,groupNpiPrefix,groupNpiNumber


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,"Update name,Address,State,zip countryCode,phone,secondPhone,thirdPhone,fax,secondfax,thirdFax,contact,contactType,activeDate,termDate,deletedDate,futureTerm,centralLabCode,shipAddress1,shipAddress2,shipCity,shipStateCode,shipZip,shipCountryCode,doesEyeExam,dispensesGlases,inMedicare,ownLab,ownFrames,groupMedicareid,groupMedicalid,groupmedicaidst,groupmedicaidst2,groupNpiPrefix,groupNpiNumber should be updated ",,
Update all JSON properties  as null,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Update name,Address,State,zip countryCode,phone,secondPhone,thirdPhone,fax,secondfax,thirdFax,contact,contactType,activeDate,termDate,deletedDate,futureTerm,centralLabCode,shipAddress1,shipAddress2,shipCity,shipStateCode,shipZip,shipCountryCode,doesEyeExam,dispensesGlases,inMedicare,ownLab,ownFrames,groupMedicareid,groupMedicalid,groupmedicaidst,groupmedicaidst2,groupNpiPrefix,groupNpiNumber as null


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,all columns  should be update as null,,
Update all JSON properties  as null,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Update name,Address,State,zip countryCode,phone,secondPhone,thirdPhone,fax,secondfax,thirdFax,contact,contactType,activeDate,termDate,deletedDate,futureTerm,centralLabCode,shipAddress1,shipAddress2,shipCity,shipStateCode,shipZip,shipCountryCode,doesEyeExam,dispensesGlases,inMedicare,ownLab,ownFrames,groupMedicareid,groupMedicalid,groupmedicaidst,groupmedicaidst2,groupNpiPrefix,groupNpiNumber as null


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,all columns should update as null,,
Insert  new account ,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Insert office number, name,Address,State,zip countryCode,phone,secondPhone,thirdPhone,fax,secondfax,thirdFax,contact,contactType,activeDate,termDate,deletedDate,futureTerm,centralLabCode,shipAddress1,shipAddress2,shipCity,shipStateCode,shipZip,shipCountryCode,doesEyeExam,dispensesGlases,inMedicare,ownLab,ownFrames,groupMedicareid,groupMedicalid,groupmedicaidst,groupmedicaidst2,groupNpiPrefix,groupNpiNumber 


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,all parameters should be inserted into the table ,,
Send request without any parameters inside the quote ,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"name,Address,State and zip  


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,"name,Address,State and zip columnss should be empty ",,
Send request without any parameters ,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Update name,Address,State and zip  as empty


",,Code should not accept parameters ,,
,,,,,,,,,Click send,,Status code should be 400 with error message ,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,"name,Address,State and zip columns should not update",,
Send request with office number as null,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"officeNumber =null 


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 500,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,"name,Address,State and zip columns should not  update",,
OfficeNumber length should not exceed more than 5 character ,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"insert officeNumber =""123456""


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,"Status code should be 400 with {""message"":""Providers did not match acceptance criteria""}",,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,OfficeNumber should not be updated ,,
send all order as one request in JSON,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Send all orders at once 


",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,Order should be updated with different row for each order request,,
