"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,Expected Result 
,,,,,,,,,Select Account =42522  from Account #,,Should display all EW Account into dropdown
,,,,,,,,,Check Active button ,,CheckBox is checked 
,,,,,,,,,Click Ok ,,Account is added into Account tab table 
,,,,,,,,,Click save ,,
,,,,,,,,,Close and reopen ,,Account info is displayed in Account tab table 
Routing onDemand Account tab ( Exclude  Button ECOM   ),Functional,Critical,15M,None,Final,Megh Thapa,Verification of OnDemand UI matches with production  ,Log in to EOR ,Click Routing on Demand from the Menu ,1,new Routing on demand window should open 
,,,,,,,,,Click Account tab ,,Is opened 
,,,,,,,,,Click Exclude radio button ,,All the buttons are enabled 
,,,,,,,,,Click Add button ,,New window should open
,,,,,,,,,Select e-Commerce from Account Type,,VisionWorks option is displayed in dropdown 
,,,,,,,,,Select Account = 3000 from Account #,,Should display all EW Account into dropdown
,,,,,,,,,Check Active button ,,CheckBox is checked 
,,,,,,,,,Click Ok ,,Account is added into Account tab table 
,,,,,,,,,Click save ,,
,,,,,,,,,Close and reopen ,,Account info is displayed in Account tab table 
Routing onDemand Account tab ( Edit Button ECOM   ),Functional,Critical,15M,None,Final,Megh Thapa,Verification of OnDemand UI matches with production  ,Log in to EOR ,Click Routing on Demand from the Menu ,1,new Routing on demand window should open 
,,,,,,,,,Click Account tab ,,Is opened 
,,,,,,,,,Click Exclude radio button ,,All the buttons are enabled 
,,,,,,,,,Highlight row and click edit button ,,New window should open
,,,,,,,,,Uncheck Active button ,,CheckBox is checked 
,,,,,,,,,Click Ok ,,Account is added into Account tab table 
,,,,,,,,,Click save ,,
,,,,,,,,,Close and reopen ,,Account info is displayed in Account tab table 
Routing onDemand Contact Lens tab ,Functional,Critical,15M,None,Final,Megh Thapa,Verification of OnDemand UI matches with production  ,Log in to EOR ,Click Routing on Demand from the Menu ,1,new Routing on demand window should open 
,,,,,,,,,Click Contact tab ,,Is opened 
,,,,,,,,,Check allow all Contacts ,,is checked 
,,,,,,,,,Verify add and delete button are disable,,Buttons should be disable 
