"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,"Expected Result (Per step, Expected for whole test case list on last step)"
/api/application/SearchAccountInfo/Ecom/AccountCity/{SearchString},Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/SearchAccountInfo/{refAccountTypeCode}/{SearchType}/{SearchString},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section , enter AccountTypeCode = 5, SearchType = accountCity and SearchingString = San Antonio",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Data should match with the Account Info table 
/api/application/SearchAccountInfo/Ecom/AccountName/{SearchString},Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/SearchAccountInfo/{refAccountTypeCode}/{SearchType}/{SearchString},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section , enter AccountTypeCode = 5, SearchType = AccountName and SearchingString = San Antonio",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Data should match with the Account Info table 
/api/application/Search/AccountTypeAndTransactionNumber/{refAccountTypeID}/{reportDate}/{storeNumber},Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/Search/AccountTypeAndTransactionNumber/{refAccountTypeID}/{reportDate}/{storeNumber},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section , enter refAccountTypeCode = 1, ReportDate = 2016-11-30  and StoreNumber = 1",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Data should match with the Account Info table 
/api/application/RefAccountType,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/RefAccountType,1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section ",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,"Should return VisionWorks,Empire Vision and e-commerce account"
/api/application/AccountInfo/1/99/True,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter  refAccountTypeCode =1 , AccountNumber=99 and IsActiveOnly =true",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account details should match with AccountInfo table 
/api/application/AccountInfo/2/1286/True,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter  refAccountTypeCode =2 , AccountNumber=1286 and IsActiveOnly =true",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account details should match with AccountInfo table 
/api/application/AccountInfo/3/9990/True,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter  refAccountTypeCode =3 , AccountNumber=9990 and IsActiveOnly =true",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account details should match with AccountInfo table 
/api/application/AccountInfo/5/1006/True,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter  refAccountTypeCode =5 , AccountNumber=1006 and IsActiveOnly =true",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account details should match with AccountInfo table 
/api/application/AccountInfo/1/867/False,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter  refAccountTypeCode =1 , AccountNumber=867 and IsActiveOnly =False",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account details should match with AccountInfo table 
/api/application/AccountInfo/2/1235/False,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter  refAccountTypeCode =2 , AccountNumber=1235 and IsActiveOnly =False",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account details should match with AccountInfo table 
/api/application/AccountInfo/3/9851/False,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter  refAccountTypeCode =3 , AccountNumber=9851 and IsActiveOnly =False",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account details should match with AccountInfo table 
/api/application/ManageAccountInfoHeader (VisionWorks),Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter UserID  and paste following xml tag  {
  ""userID"": ,
  ""xmlData"":""<AccountInfoSetup>
  <AccountInfoSetupData> 
       <AccountInfoID>1</AccountInfoID>
       <AccountTypeID>1</AccountTypeID>
       <AccountNumber>1</AccountNumber>
       <PrimaryLabID>125</PrimaryLabID >
       <SecondaryLabID>891</SecondaryLabID>
       <DoNotReroute>1</DoNotReroute>
       <IsActive>1</IsActive>
</AccountInfoSetupData>
    </AccountInfoSetup>"" 
  }",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account update should match with AccountInfo table ( USP_Manufacturing_ManageAccountInfo_Header)
/api/application/ManageAccountInfoHeader (EV),Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter UserID  and paste following xml tag {
  ""userID"": 2812,
  ""xmlData"":""<AccountInfoSetup>
  <AccountInfoSetupData> 
       <AccountInfoID>516</AccountInfoID>
       <AccountTypeID>2</AccountTypeID>
       <AccountNumber>101</AccountNumber>
       <PrimaryLabID>125</PrimaryLabID >
       <SecondaryLabID>891</SecondaryLabID>
       <DoNotReroute>1</DoNotReroute>
       <IsActive>1</IsActive>
</AccountInfoSetupData>
    </AccountInfoSetup>"" 
  }",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account update should match with AccountInfo table ( USP_Manufacturing_ManageAccountInfo_Header)
/api/application/ManageAccountInfoHeader (Davis),Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter UserID  and paste following xml tag {
  ""userID"": 2812,
  ""xmlData"":""<AccountInfoSetup>
  <AccountInfoSetupData> 
       <AccountInfoID>9563</AccountInfoID>
       <AccountTypeID>3</AccountTypeID>
       <AccountNumber>101</AccountNumber>
       <PrimaryLabID>125</PrimaryLabID >
       <SecondaryLabID>891</SecondaryLabID>
       <DoNotReroute>1</DoNotReroute>
       <IsActive>1</IsActive>
</AccountInfoSetupData>
    </AccountInfoSetup>"" 
  }",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account update should match with AccountInfo table ( USP_Manufacturing_ManageAccountInfo_Header)
/api/application/ManageAccountInfoHeader (ECom),Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AccountInfo/{refAccountTypeCode}/{AccountNumber}/{IsActiveOnly},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section, enter UserID  and paste following xml tag {
  ""userID"": 2812,
  ""xmlData"":""<AccountInfoSetup>
  <AccountInfoSetupData> 
       <AccountInfoID>41919</AccountInfoID>
       <AccountTypeID>5</AccountTypeID>
       <AccountNumber>1005</AccountNumber>
       <PrimaryLabID>125</PrimaryLabID >
       <SecondaryLabID>891</SecondaryLabID>
       <DoNotReroute>1</DoNotReroute>
       <IsActive>1</IsActive>
</AccountInfoSetupData>
    </AccountInfoSetup>"" 
  }",,Api-Key and JSON properties is accepted 
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Account update should match with AccountInfo table ( USP_Manufacturing_ManageAccountInfo_Header)
